2023-06-15 17:13:29.4865|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7067 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-06-15 17:13:29.5748|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5098 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-06-15 17:13:29.5748|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-06-15 17:13:29.5748|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-06-15 17:13:29.5748|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\zsirc\OneDrive\Desktop\Hopmarket\Market\ |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-06-15 17:14:10.0350|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7067 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-06-15 17:14:10.0777|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5098 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-06-15 17:14:10.0777|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-06-15 17:14:10.0777|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-06-15 17:14:10.0777|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\zsirc\OneDrive\Desktop\Hopmarket\Market\ |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-06-15 17:14:26.8411|0|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'. |url: https://localhost/Product/GetProducts|action: GetProducts|Microsoft.EntityFrameworkCore.SqlServer.Extensions.Internal.SqlServerLoggerExtensions.DecimalTypeDefaultWarning
